Origin State,Destination State,Number of tourists visited,,,,,,,,,,,,,,,
Johor,Johor,4415957,,,,,,,,,,,,,,,
Johor,Kedah,287280,,,,,,,,,,,,,,,
Johor,Kelantan,227617,,,,,,,,,,,,,,,
Johor,Melaka,961124,,,,,,,,,,,,,,,
Johor,Negeri Sembilan,506846,,,,,,,,,,,,,,,
Johor,Pahang,581836,,,,,,,,,,,,,,,
Johor,Pulau Pinang,312678,,,,,,,,,,,,,,,
Johor,Perak,426092,,,,,,,,,,,,,,,
Johor,Perlis,12144,,,,,,,,,,,,,,,
Johor,Selangor,574624,,,,,,,,,,,,,,,
Johor,Terengganu,153452,,,,,,,,,,,,,,,
Johor,Sabah,9828,,,,,,,,,,,,,,,
Johor,Sarawak,5210,,,,,,,,,,,,,,,
Johor,W.P. Kuala Lumpur,432668,,,,,,,,,,,,,,,
Johor,W.P. Labuan,9949,,,,,,,,,,,,,,,
Johor,W.P. Putrajaya,46297,,,,,,,,,,,,,,,
Kedah,Johor,49516,,,,,,,,,,,,,,,
Kedah,Kedah,1553782,,,,,,,,,,,,,,,
Kedah,Kelantan,175473,,,,,,,,,,,,,,,
Kedah,Melaka,81453,,,,,,,,,,,,,,,
Kedah,Negeri Sembilan,82518,,,,,,,,,,,,,,,
Kedah,Pahang,205717,,,,,,,,,,,,,,,
Kedah,Pulau Pinang,260335,,,,,,,,,,,,,,,
Kedah,Perak,443281,,,,,,,,,,,,,,,
Kedah,Perlis,122934,,,,,,,,,,,,,,,
Kedah,Selangor,195599,,,,,,,,,,,,,,,
Kedah,Terengganu,83935,,,,,,,,,,,,,,,
Kedah,Sabah,22632,,,,,,,,,,,,,,,
Kedah,Sarawak,23832,,,,,,,,,,,,,,,
Kedah,W.P. Kuala Lumpur,321246,,,,,,,,,,,,,,,
Kedah,W.P. Labuan,13270,,,,,,,,,,,,,,,
Kedah,W.P. Putrajaya,42212,,,,,,,,,,,,,,,
Kelantan,Johor,152566,,,,,,,,,,,,,,,
Kelantan,Kedah,68518,,,,,,,,,,,,,,,
