States,Year,Visitors,Longitude,Latitude,total_visitor_per_1k_pop
Johor,2023,15805000,103.412,2.00649,73.94359608
Kedah,2023,13444000,100.647,5.80958,62.89767198
Kelantan,2023,7549000,102.005,5.40349,35.31795045
Melaka,2023,15559000,102.293,2.32162,72.79268658
Negeri Sembilan,2023,14959000,102.149,2.70857,69.98559024
Pahang,2023,16456000,102.491,3.84557,76.98929561
Pulau Pinang,2023,13128000,100.261,5.36839,61.41926791
Perak,2023,17108000,101.059,4.74737,80.03967363
Perlis,2023,1951000,100.253,6.52169,9.127741597
Selangor,2023,27579000,101.428,3.3078,129.0281832
Terengganu,2023,11761000,103.013,4.94214,55.02376675
Sabah,2023,16080000,117.095,5.31115,75.2301819
Sarawak,2023,17901000,113.344,2.44952,83.74971929
Kuala Lumpur,2023,22233000,101.698,3.13836,104.0169549
Labuan,2023,331000,115.222,5.32524,1.548581481
Putrajaya,2023,1900000,101.706,2.93814,8.889138409
Johor,2016,12207000,103.412,2.00649,64.50095903
Kedah,2016,13188000,100.647,5.80958,69.68449641
Kelantan,2016,8646000,102.005,5.40349,45.68487686
Melaka,2016,12268000,102.293,2.32162,64.82327889
Negeri Sembilan,2016,10130000,102.149,2.70857,53.52623208
Pahang,2016,14168000,102.491,3.84557,74.86274986
Pulau Pinang,2016,12565000,100.261,5.36839,66.39260672
Perak,2016,16783000,101.059,4.74737,88.68023228
Perlis,2016,1410000,100.253,6.52169,7.450344248
Selangor,2016,24124000,101.428,3.3078,127.4695778
Terengganu,2016,12010000,103.013,4.94214,63.46002441
Sabah,2016,16518000,117.095,5.31115,87.27999028
Sarawak,2016,16282000,113.344,2.44952,86.0329823
Kuala Lumpur,2016,16784000,101.698,3.13836,88.68551621
Labuan,2016,354000,115.222,5.32524,1.87051196
Putrajaya,2016,1816000,101.706,2.93814,9.595620677
Johor,2017,13141000,103.412,2.00649,63.97511295
Kedah,2017,13305000,100.647,5.80958,64.77352391
Kelantan,2017,9624000,102.005,5.40349,46.85309238
Melaka,2017,12625000,102.293,2.32162,61.46303941
Negeri Sembilan,2017,10822000,102.149,2.70857,52.68538713
Pahang,2017,16491000,102.491,3.84557,80.28411746
Pulau Pinang,2017,12643000,100.261,5.36839,61.55066989
Perak,2017,20110000,101.059,4.74737,97.9027107
Perlis,2017,14141000,100.253,6.52169,68.8434725
Selangor,2017,25491000,101.428,3.3078,124.0993535
Terengganu,2017,12979000,103.013,4.94214,63.1864387
Sabah,2017,17792000,117.095,5.31115,86.61785325
Sarawak,2017,17670000,113.344,2.44952,86.02391338
Kuala Lumpur,2017,19049000,101.698,3.13836,92.73738121
Labuan,2017,381000,115.222,5.32524,1.854844991
Putrajaya,2017,1872000,101.706,2.93814,9.113569092
Johor,2018,13487000,103.412,2.00649,60.95213131
