State,Destination,Type
Johor,Paradigm Mall Johor Bahru,Shopping Mall
Johor,Pantai Desaru,Beach
Johor,Toppen Shopping Centre,Shopping Mall
Johor,"The Mall, Mid Valley Southkey",Shopping Mall
Johor,Legoland Malaysia,Theme Park
Kedah,Pantai Cenang,Beach
Kedah,Aman Central Mall,Shopping Mall
Kedah,Langkawi Cable Car,Natural
Kedah,National Art Gallery,Cultural
Kedah,Pantai Merdeka,Beach
Kelantan,AEON Lembah Sireh,Shopping Mall
Kelantan,Pasar Siti Khadijah,Market
Kelantan,KB Mall,Shopping Mall
Kelantan,Pantai Irama,Beach
Kelantan,Kawasan Membeli Belah Bebas Cukai Rantau Panjang,Market
Melaka,Pantai Klebang,Beach
Melaka,Dataran Pahlawan,Shopping Mall
Melaka,Mahkota Parade,Shopping Mall
Melaka,Jonker Street/ Jalan Hang Jebat,Cultural
Melaka,Pantai Pengkalan Balak,Beach
Negeri Sembilan,Pantai Port Dickson,Beach
Negeri Sembilan,Palm Mall Seremban,Shopping Mall
Negeri Sembilan,Pantai Teluk Kemang,Beach
Negeri Sembilan,City Park Seremban 2,Natural
Negeri Sembilan,Pantai Cahaya Negeri,Beach
Pahang,East Cost Mall (ECM),Shopping Mall
Pahang,Kuantan City Mall,Shopping Mall
Pahang,Genting Highlands,Resort
Pahang,Cameron Highlands,Natural
Pahang,Pantai Teluk Cempedak,Beach
Pulau Pinang,Queensbay Mall,Shopping Mall
Pulau Pinang,Gurney Paragon Mall,Shopping Mall
Pulau Pinang,Pantai Batu Ferringhi,Beach
Pulau Pinang,1st Avenue Mall,Shopping Mall
Pulau Pinang,Bukit Bendera,Natural
Perak,Pulau Pangkor,Beach
Perak,Lost World of Tambun,Theme Park
Perak,Teluk Batik,Beach
Perak,Ipoh Parade Shopping Centre,Shopping Mall
Perak,Lumut Waterfront,Natural
Perlis,Arked Niaga Padang Besar,Market
Perlis,Tasik Timah Tasoh,Natural
Perlis,Pantai Peranginan Sg. Berembang,Beach
Perlis,Hutan Lipur Bukit Ayer,Natural
Perlis,Padang Waremart,Market
Selangor,IOI City Mall,Shopping Mall
Selangor,Sunway Pyramid Shopping Mall,Shopping Mall
Selangor,IKEA Damansara,Shopping Mall
Selangor,GM Klang Wholesale City,Shopping Mall
Selangor,"i-City, Shah Alam",Theme Park
Terengganu,KTCC Mall,Shopping Mall
Terengganu,Pantai Miami Terengganu,Beach
Terengganu,Pantai Batu Buruk,Beach
Terengganu,Pasar Besar Kedai Payang,Market
Terengganu,Pulau Warisan (i-City Terengganu),Cultural
Sabah,Imago Shopping Mall,Shopping Mall
Sabah,Pekan Kundasang & Pekan Nabalu,Market
Sabah,Pantai Tanjung Aru,Beach
Sabah,Ladang Lembu Tenusu/ Desa Dairy Farm,Natural
Sabah,Centre Point Sabah,Shopping Mall
Sarawak,Daesco Star Mega Mall,Shopping Mall
Sarawak,Pasar Sentral Sibu,Market
Sarawak,The Spring Mall Bintulu,Shopping Mall
Sarawak,AEON MALL Kuching Central,Shopping Mall
Sarawak,Vivacity Megamall,Shopping Mall
W.P. Kuala Lumpur,Mid Valley Megamall,Shopping Mall
W.P. Kuala Lumpur,Pavilion Kuala Lumpur,Shopping Mall
W.P. Kuala Lumpur,SOGO,Shopping Mall
W.P. Kuala Lumpur,Suria KLCC,Shopping Mall
W.P. Kuala Lumpur,Berjaya Times Square,Shopping Mall
W.P. Labuan,Kampung Patau-Patau,Cultural
W.P. Labuan,Pantai Layang-layang,Beach
W.P. Labuan,Kompleks Sukan Laut Antarabangsa Labuan,Sports
W.P. Labuan,Pantai Pohon Batu,Beach
W.P. Labuan,Kompleks Ujang Kewangan,Shopping Mall
W.P. Putrajaya,Alamanda Shopping Centre,Shopping Mall
W.P. Putrajaya,"Dataran Putrajaya, Presint 3",Cultural
W.P. Putrajaya,Cruise Tasik Putrajaya,Natural
W.P. Putrajaya,Putrajaya International Convention Centre (PICC),Event Venue
W.P. Putrajaya,"Taman Wetland, Presint 13",Natural
