State,Year,Total Receipts in Million,Rank
W.P. Labuan,2017,272,13
W.P. Labuan,2018,391,13
Selangor,2019,15544,1
Selangor,2020,7051,1
Selangor,2021,3159,1
Selangor,2022,8735,1
Selangor,2023,11103,1
Perlis,2017,474,12
Perlis,2018,617,12
W.P. Kuala Lumpur,2019,12141,2
W.P. Kuala Lumpur,2020,5273,2
W.P. Kuala Lumpur,2021,3084,2
W.P. Kuala Lumpur,2022,7733,2
W.P. Kuala Lumpur,2023,10995,2
W.P. Putrajaya,2017,701,11
W.P. Putrajaya,2018,1008,11
Sarawak,2019,8671,3
Sarawak,2020,3385,3
Sarawak,2021,1935,3
Sarawak,2022,5431,3
Sarawak,2023,6943,3
Negeri Sembilan,2017,4382,10
Kedah,2018,4724,10
Sabah,2019,8081,4
Pahang,2020,2748,4
Johor,2021,1252,4
Pahang,2022,5317,4
Pahang,2023,6733,4
Kedah,2017,4471,9
Negeri Sembilan,2018,4830,9
Pahang,2019,7601,5
Sabah,2020,2677,5
Negeri Sembilan,2021,1213,5
Johor,2022,4888,5
Sabah,2023,6713,5
Terengganu,2017,4763,8
Terengganu,2018,5585,8
Johor,2019,7410,6
Johor,2020,2432,6
Pulau Pinang,2021,1159,6
Sabah,2022,4826,6
Johor,2023,6699,6
Pulau Pinang,2017,4864,7
Pulau Pinang,2018,6165,7
Pulau Pinang,2019,6654,7
Pulau Pinang,2020,2427,7
Sabah,2021,1052,7
Negeri Sembilan,2022,3651,7
Pulau Pinang,2023,5815,7
Johor,2017,6036,6
Johor,2018,6726,6
Terengganu,2019,5990,8
Kedah,2020,2273,8
Terengganu,2021,984,8
Pulau Pinang,2022,3648,8
Negeri Sembilan,2023,4777,8
Pahang,2017,6436,5
Pahang,2018,7405,5
Kedah,2019,5208,9
Terengganu,2020,2255,9
Pahang,2021,914,9
Kedah,2022,3470,9
Kedah,2023,4207,9
Sabah,2017,6852,4
Sabah,2018,7508,4
Negeri Sembilan,2019,5071,10
Negeri Sembilan,2020,2233,10
Kedah,2021,842,10
Terengganu,2022,3363,10
Terengganu,2023,4192,10
Sarawak,2017,7347,3
Sarawak,2018,8145,3
W.P. Putrajaya,2019,849,11
Perlis,2020,224,11
Perlis,2021,78,11
Perlis,2022,456,11
W.P. Putrajaya,2023,670,11
W.P. Kuala Lumpur,2017,9395,2
W.P. Kuala Lumpur,2018,10295,2
Perlis,2019,579,12
W.P. Putrajaya,2020,142,12
W.P. Putrajaya,2021,68,12
W.P. Putrajaya,2022,456,12
Perlis,2023,584,12
Selangor,2017,11764,1
Selangor,2018,13189,1
W.P. Labuan,2019,392,13
W.P. Labuan,2020,60,13
W.P. Labuan,2021,29,13
W.P. Labuan,2022,136,13
W.P. Labuan,2023,194,13
